SKU,UOM,id,product_id,Max price,Discounted price
Banana Raw,500 Gms (4-5 pcs),211,259,58,54
Banana Raw,1 Kg (8-10 pcs),920,259,115,102
Papaya Raw,500-700 Gms,187,221,47,47
Groundnuts Raw [Moongfalli],250 Gms,22,62,58,58
Groundnuts Raw [Moongfalli],500 Gms,825,62,116,109
Banana Flower,1 Pc,297,308,78,78
Banana Flower,2 Pcs,831,308,156,147
Triple C Combo,1.5 KG,37,77,92,89
Frozen Edamame Beans,500 Gms,1288,767,500,500
Banana Leaf,1 Pc,666,551,28,28
Banana Leaf,5 Pcs,905,551,140,132
Weekly Veggie Combo,1.6 KG,39,79,216,210
Watermelon Kiran,2.5-3 Kg,123,155,106,77
Sliced Watermelon,500 Gms,690,558,38,38
Tender Coconut,1 Pc (200-270 ml),272,300,86,86
Blueberry Premium [Imported],125 Gm,7,47,336,336
Blueberry,125 gms (1 pack),1568,954,200,149
Blueberry,250 gms (Pack of 2),1597,954,400,339
Muskmelon,1 Pc (700-800 Gm),120,154,63,63
Muskmelon Chunks,500 Gms,691,559,115,115
Honeydew Muskmelon,1 pc (500- 600gms),1596,979,75,75
Wood Apple,1 Pc,1612,987,29,29
Tender Coconut (Pack of 3),Pack of 3,1598,980,259,244
Banana Robusta,500 Gms (4-5 Pcs),4,44,34,34
Banana Robusta,1 Kg (8-9 Pcs),43,44,68,64
Banana Yelakki,250 Gms ,1269,45,42,42
Banana Yelakki,500 Gm ,5,45,84,79
Litchi (Lychee),250 Gms,1205,282,166,166
Litchi (Lychee),500 Gms,294,282,332,312
Sapota [Chikoo],250 Gms,1047,74,26,26
Sapota [Chikoo],500 Gms,34,74,52,49
Papaya Chunks,500 Gms,692,560,82,82
Papaya,1 Pc (800 Gms - 1.4 Kg),1153,200,113,100
Pomegranate,4 Pcs (700-800 Gms),31,71,339,319
Pomegranate,2 Pcs (350-400 Gms),614,71,179,179
Pomegranate Premium,2 Pcs (450+ Gms),637,127,285,285
Pomegranate Premium,4 Pcs (900+ Gms),1584,127,350,285
Pomegranate Arils,1 x (200 Gms),336,129,154,154
Cold Pressed Pomegranate Juice,250 ML,1446,859,139,129
Orange Valencia [Imported],4 Pcs (700-750 Gms),106,146,160,135
Orange Valencia [Imported],2 Pc (350-400 Gms),524,146,80,71
Sweet Lime [Mosambi],1 Kg (Medium),423,276,145,137
Sweet Lime [Mosambi],500 Gms,276,276,72,72
Sweet Lime [Mosambi],2 Kg,1040,276,290,257
Orange Mandarin [Imported],1 Kg,657,143,388,344
Orange Mandarin [Imported],250 Gms,1386,143,97,97
Orange Mandarin [Imported],500 Gms,103,143,194,183
Cold Pressed Valencia Orange Juice,250 ML,1444,857,109,99
Cut Pineapple,200 Gms,107,159,121,121
Pineapple,1 Pc (800 Gms+),30,70,144,144
Pineapple Chunks,200 Gms,1238,561,93,93
Pineapple Chunks,500 Gms,693,561,228,214
Premium Avocado Hass [Imported],2 Pc (180+ g per pc),900,84,236,209
Premium Avocado Hass [Imported],1 Pc (180+ gms),48,84,118,111
Avocado Hass [Imported],1 Pc (130-180 Gms per pc),1390,821,98,98
Pear Green [Imported],4 Pcs (550-650 Gms),29,69,186,176
Pear Green [Imported],2 Pcs (275-325 Gms),611,69,93,93
Dragon Fruit [Imported],1 Pc (300 - 350 Gms),21,61,192,139
Dragon Fruit [Imported],2 Pcs (600-700 Gms),952,61,384,264
Cut Dragon Fruit,250 Gms,1406,829,96,96
Kiwi Green [Imported],3 Pcs,172,203,135,135
Cut Kiwi Green,250 Gms,1405,828,174,174
Kimia Dates [Imported],400 Gms,144,108,279,279
Peeled Jackfruit,200 Gms,1635,371,55,55
Mango Kesar,1 Kg (4-5 Pcs),436,393,227,227
Mango Alphonso Ratnagiri (Large) - 6 Pcs,6 Pcs (220-250g per pc),382,314,647,574
Mango Alphonso Ratnagiri (Large) - 12 Pcs,12 Pcs (220-250 g per pc),1507,910,1294,1123
Mango Alphonso Ratnagiri (Large) - 1 Pc,1 Pc (220-250g),1542,937,114,114
Mango Alphonso Ratnagiri (Medium) -  6 pcs,6 Pcs (180 - 220g per pc),386,352,514,456
Cold Pressed Mango Juice,250 ML,1436,852,89,80
Mango Alphonso Ratnagiri (Medium) -  12 pcs,12 Pcs (180 - 220g per pc),1506,909,1028,892
Mango Alphonso Ratnagiri (Medium)-  1 pc,1 Pc (180 - 220g per pc),1181,694,86,87
Mango Alphonso Ratnagiri (Extra Large) - 6 Pcs,6 Pc (250-300g per pc),1576,961,764,678
Mango Totapuri (Raw),500 Gms,373,333,53,53
Mango Totapuri (Raw),1 Kg,344,333,107,101
Mango Alphonso Ratnagiri (Extra Large) - 12 Pcs,12 Pcs (250-300g per pc),391,353,1528,1327
Mango Badami (Medium) - 3 Pcs,3 Pcs (250-300g per pc),1517,919,239,159
Mango Totapuri (Ripe),1 Kg,1243,739,154,154
Mango Totapuri (Ripe),500 Gms,1592,739,99,99
Mango Alphonso Ratnagiri  (Large) - 2 Pcs,2 Pcs (220-250g),1531,931,203,203
Mango Badami (Large) - 3 Pcs,3 Pcs (350-400g per pc),1574,959,340,340
Mango Alphonso Ratnagiri (Medium) -  2 Pc,2 Pcs (180-220g),1530,930,171,171
Mango Alphonso Ratnagiri (Extra Large) - 2 Pcs,2 Pc (250-300g per pc),1577,962,382,360
Mango Badami (Large) - 6 Pcs,6 Pcs (350-400g per pc),1575,960,472,444
Mango Badami (Medium) - 6 Pcs,6 Pcs (250-300g per pc),1518,920,254,254
Mango Alphonso Ratnagiri (Extra Large) - 1 Pc,1 Pc (250-300g per pc),1578,963,188,188
Premium Apple Royal Gala [Imported],4 Pcs (600-800 Gms),2,42,269,254
Premium Apple Royal Gala [Imported],2 Pcs (300-400 Gms),898,42,133,133
Regular Apple Royal Gala [Imported],4 Pcs (480-550 Gms),1396,823,197,186
Apple Granny Smith [Imported],2 Pcs (250-300 Gms),612,41,167,167
Apple Granny Smith [Imported],4 Pcs (560-750 Gms),1604,41,314,314
Apple Granny Smith [Imported],4 Pcs (500-600 Gms),1,41,333,314
Cold Pressed Apple Juice,250 ML,1447,860,139,129
Apple Washington [Imported],2 Pcs (250-300 Gms),613,88,155,155
Apple Washington [Imported],4 Pcs (500-550 Gms),71,88,306,288
Apple Fuji [Imported],2 Pcs,893,95,266,266
Apple Fuji [Imported],4 Pcs (500-600 Gms),69,95,466,439
Apple Red Delicious [Imported],1 Kg,70,96,422,422
Cold Pressed Pineapple Juice,250 ML,1445,858,109,99
Cold Pressed Guava Juice,250 ML,1437,853,89,80
Cold Pressed Sugar Cane Juice,250 ML,1435,851,79,71
Frozen Strawberry,150 Gms,725,589,200,200
Frozen Sweet Cherry,200 Gms,730,594,270,270
Pluckk Medjoul Dates,250 Gms,1555,674,454,431
Pluckk Medjoul Dates,500 Gms,1148,674,907,862
Banana Red,3 Pcs,78,104,80,80
Banana Red,6 Pcs,921,104,160,150
Banana Nendran,3 Pcs,77,105,79,79
Banana Nendran,6 Pcs,919,105,157,148
Sweet Tamarind,250 Gms,332,335,111,111
Sweet Tamarind,2x (250 Gms),835,335,222,208
Pluckk Ajwa Dates,250 Gms,1553,672,373,354
Pluckk Ajwa Dates,500 Gms,1146,672,745,708
Pluckk Safawi Dates,250 Gms,1554,673,283,269
Pluckk Safawi Dates,500 Gms,1147,673,566,538
